Name,Condition,Condition(Numeric),Mg,Al,Zn,Mn,Ce,La,Nd,Pr,Sn,Ca,Zr,Ag,Ho,Y,Gd,Cu,Si,Li,Yb,Th,Sb,Ga,Tb,Dy,Fe,UTS,YS,Ductility
Mg-Al-Ca,extruded (400C),1,85.60,9.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,461,417,3.1
Mg-Al-Ca,extruded (400C),1,85.60,9.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,459,413,4.7
Mg-Al-Ca,extruded (400C),1,85.60,9.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,462,418,4.1
Mg-20Al-15Ca,extruded (300C),1,65.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,710,600,3.4
Mg-8Al-5Ga-3Zn,extruded (300C),1,84.00,8.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,646,518,1.2
Mg-9Al-6.5Ca,extruded (300C),1,84.50,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,567,538,3.2
Mg-9Al-1Zn-1.5Si,extruded (300C),1,88.50,9.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,541,468,5.4
Mg-11Si-4Al,extruded (300C),1,85.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,506,455,2
EA 55RS,extruded (300C),1,85.00,5.00,5.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,513,476,5
AM20HP,high pressure die-cast (350C),4,97.71,2.20,0.01,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,147.5,86,5.5
AM50HP,high pressure die-cast (350C),4,94.71,5.10,0.01,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,173.5,112,2.5
AE42,high pressure die-cast (350C),4,94.42,4.58,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,166,120,2.1
AS41,high pressure die-cast (350C),4,95.73,3.90,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,132.5,122.5,0.6
AZ91,high pressure die-cast (350C),4,89.98,8.80,0.99,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250,150,7
AM20HP,high pressure die-cast (350C),4,97.71,2.20,0.01,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,190,110,11
AM50HP,high pressure die-cast (350C),4,94.71,5.10,0.01,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,210,130,8.5
AE42,high pressure die-cast (350C),4,94.42,4.58,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,115,17.5
AS41,high pressure die-cast (350C),4,95.73,3.90,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,255,135,15
ZA82,"die cast, casting at 700C, mold at 390C",4,90.15,1.93,7.67,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,140,100,2.2
ZA84,"die cast, casting at 700C, mold at 390C",4,88.18,3.80,7.69,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,145,105,1.6
ZA86,"die cast, casting at 700C, mold at 390C",4,86.63,5.36,7.89,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,137,113,0.95
ZA102,"die cast, casting at 700C, mold at 390C",4,88.18,1.87,9.70,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,140,93,1.96
ZA104,"die cast, casting at 700C, mold at 390C",4,86.33,3.69,9.73,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,149,106,1.78
ZA106,"die cast, casting at 700C, mold at 390C",4,83.43,5.60,10.80,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135,109,1.85
ZA122,"die cast, casting at 700C, mold at 390C",4,85.60,2.09,12.10,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,145,105,1.3
ZA124,"die cast, casting at 700C, mold at 390C",4,83.19,4.21,12.20,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,142,114,1.41
ZA126,"die cast, casting at 700C, mold at 390C",4,82.58,5.47,11.80,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,139,117,1.42
ZA142,"die cast, casting at 700C, mold at 390C",4,84.65,1.73,13.40,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,145,118,1.2
ZA144,"die cast, casting at 700C, mold at 390C",4,82.17,3.87,13.80,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,141,134,1
ZA146,"die cast, casting at 700C, mold at 390C",4,79.27,6.17,14.30,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114,111,1
AZ91D,as cast F,4,90.09,9.00,0.68,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,285,185,9.8
AZ91D,sater quenched T4,5,90.09,9.00,0.68,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,304,149,15.5
AZ91D,"water quenched, air cooled T6a",5,90.09,9.00,0.68,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,334,214,10.8
AZ91D,"water quenched, air cooled T6b",5,90.09,9.00,0.68,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,327,212,7.8
ML10,cast T6,5,99.25,0.02,0.40,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230,140,3
ML19,cast T6,5,94.78,0.02,0.40,0.00,0.00,0.00,2.10,0.00,0.00,0.00,0.52,0.00,0.00,2.10,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,275,195,3
ML19,cast T6,5,94.69,0.02,0.41,0.00,0.00,0.00,2.30,0.00,0.00,0.00,0.50,0.00,0.00,2.00,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,255,175,3
ML19,cast T6,5,95.35,0.02,0.45,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.40,0.00,0.00,1.70,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,265,175,3.3
ML19,cast T6,5,99.30,0.02,0.35,0.00,0.00,0.00,1.95,0.00,0.00,0.00,0.25,0.00,0.00,1.80,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,220,120,3
R/S Mg-11Si-4Al (dp = 0.7 𝞵m),as-extruded (623K),1,85.40,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,506,455,1.6
R/S Mg-11Si-4Al (dp = 0.7 𝞵m),"extruded, annealed, quenched, extruded at 623K, annealed at 732K ",1,85.40,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,450,401,2.8
R/S Mg-11Si-4Al (dp = 1.4 𝞵m),as-extruded (823K),1,85.40,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,385,340,0.8
R/S Mg-11Si-4Al (dp = 1.4𝞵m),"extruded, annealed, quenched, extruded at 823K, annealed at 732K ",1,85.40,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,383,326,0.9
R/S Mg-11Si-4Zn (dp = 0.8 𝞵m),as-extruded (573K),1,85.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,532,479,1.3
R/S Mg-11Si-4Zn (dp = 0.8 𝞵m),"extruded, annealed, quenched, extruded at 573K, annealed at 732K ",1,85.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,512,436,0.9
R/S Mg-11Si-4Zn (dp = 3.3 𝞵m),as-extruded (823K),1,85.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,346,313,1.2
R/S Mg-11Si-4Zn (dp = 3.3 𝞵m),"extruded, annealed, quenched, extruded at 823K, annealed at 732K ",1,85.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,343,281,2.3
I/M Mg-4Si-4Zn (dp = 76 𝞵m),as-extruded (573K),1,92.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,246,201,8.2
I/M Mg-4Si-4Zn (dp = 76 𝞵m),"extruded, annealed, quenched, extruded at 573K, annealed at 732K ",1,92.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,221,183,8.3
I/M Mg 6Si (dp = 63 𝞵m),as-extruded (573K),1,94.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,213,171,6.1
I/M Mg 6Si (dp = 63 𝞵m),"extruded, annealed, quenched, extruded at 573K, annealed at 732K ",1,94.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,192,159,6.5
I/M Mg-13Si-4Al (dp = 41 𝞵m),as-extruded (573K),1,83.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,179,150,1.1
I/M Mg-13Si-4Al (dp = 41 𝞵m),"extruded, annealed, quenched, extruded at 573K, annealed at 732K ",1,83.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,161,134,3
AZ91,as-extruded (250C),1,90.17,9.04,0.63,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,399,322,12
AZ151,as-extruded (250C),1,83.83,15.00,0.98,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,395,387,0.3
ACa54,as-extruded (300C),1,91.39,5.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,493,470,7.2
ZE41,as-extruded (300C),1,94.41,0.00,4.37,0.00,0.78,0.32,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,421,405,18
Unreinforced AZ91,"squeeze casting, extruded, T6, extruded at 335C",1,89.71,9.00,1.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,360,204,9.9
Mg-9Al-1Zn-5La,extruded (340C),1,85.33,8.60,1.10,0.00,0.00,4.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,410,342,15.4
Mg-9Al-1Zn-5La,extruded (340C),1,86.05,8.20,1.00,0.00,0.00,4.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,420,368,8.8
Mg-9Al-1Zn-5La,extruded (230C),1,85.00,9.00,1.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,487,434,6.5
Mg-9Al-1Zn-5La,extruded (230C),1,85.00,9.00,1.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,402,351,20
Mg-9Al-1Zn-5La,extruded (230C),1,85.00,9.00,1.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,447,402,7.6
Mg-9Al-1Zn-5La,extruded (230C),1,85.00,9.00,1.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,396,334,15.3
Mg-9Al-1Zn-5Nd,extruded (340C),1,86.08,8.50,1.10,0.00,0.00,0.00,4.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,426,379,13
Mg-5Al-5Zn-5Nd,extruded (250C),1,85.00,5.00,5.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,475,425,14
EA55RS,extruded (250C),1,85.10,5.00,5.00,0.00,0.00,0.00,4.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,435,360,16
Mg-Li,extruded ,1,94.70,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,260,150,10
unreinforced AZ91,as-cast T4,5,90.08,8.90,0.81,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,203,86.7,7.1
Mg-8Al-2Ga,extruded (453K),1,90.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,595,499,3.5
Mg-9Al-2Ga,extruded (453K),1,89.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,613,474,1.3
Mg-8Al-3Ga,extruded (453K),1,89.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,630,498,2.6
Mg-8Al-2Ga-Zn,extruded (453K),1,89.00,8.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,646,518,1.2
AZ91D,extruded (453K),1,89.81,9.10,0.85,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,234,152,3
Mg-20Gd,as-cast T6,5,79.98,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.00,19.70,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,330,265,2.7
AZ91D,as-cast T6,5,89.81,9.10,0.85,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,140,95,33
WE54A,as-cast T6,5,90.58,0.00,0.20,0.15,1.00,1.00,1.00,0.00,0.00,0.00,0.70,0.00,0.00,5.13,0.00,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,170,170,7.5
AZ91D,die-cast (576C),4,90.10,9.00,0.70,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,170,124,3
AZ91D,as-cast (576C),3,90.10,9.00,0.70,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,170,120,2
AZ91D,rheocast (576C),5,90.10,9.00,0.70,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92,83,0.3
AZ91D,"as-cast, extruded (576C)",1,90.10,9.00,0.70,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,313,226,15.6
AZ91D,"rheocast, extruded (576C)",5,90.10,9.00,0.70,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,296,215,10.2
AZ91C,cast F,4,90.03,8.70,0.70,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,166,97,2
AZ91C,cast T4,5,90.03,8.70,0.70,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,276,97,11
AZ91C,cast T6,5,90.03,8.70,0.70,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,276,131,5
"Magnesium, EZ33A, cast, T5",EZ33Acast T5,5,93.44,0.00,2.56,0.00,1.65,0.80,0.80,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.75,80,1.62
"Magnesium, Mg-12Li, cast",Mg-12Licast,3,88.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150,70,7.5
"Magnesium, AS21A, cast",AS21Acast,3,96.35,2.30,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,170,110,4
"Magnesium, AM20, cast",AM20cast,3,97.25,2.23,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,185,105,9.75
"Magnesium, ZE41A, cast, T5",ZE41Acast T5,5,93.78,0.00,4.26,0.00,0.65,0.33,0.28,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,188.5,127.5,2.16
"Magnesium, AM100A, cast, T6",AM100Acast T6,5,89.40,10.38,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,189.5,102,2
"Magnesium, Z6",Z6,5,94.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,190,146.5,5
"Magnesium, AZ92A, cast, T6",AZ92Acast T6,5,88.50,9.28,2.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196.5,131,2
"Magnesium, AM50A, cast",AM50Acast,5,94.50,5.07,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,197.5,125,7
"Magnesium, commercial purity, ASTM 9980A",ASTM 9980A,5,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,205,82.5,16
"Magnesium, AE42, cast, F",AE42cast F,4,93.05,4.15,0.00,0.30,1.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,210,142.5,10
"Magnesium, AM60A, cast",AM60Acast,3,93.63,6.00,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,210,135,6
"Magnesium, AZ61A, cast",AZ61Acast,3,92.10,6.63,0.95,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,215,150,4.5
"Magnesium, AZ81A, cast",AZ81Acast,3,91.30,7.76,0.70,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,220,150,2
"Magnesium, AS41A, cast",AS41Acast,3,94.30,4.35,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225,135,4.5
"Magnesium, AM60B, cast, F",AM60Bcast F,4,93.45,6.13,0.00,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,231,136.5,7
"Magnesium, AS21B, cast, F",AS21Bcast F,4,96.45,2.35,0.00,0.10,0.09,0.04,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,231,122,13
"Magnesium, AS41B, cast, F",AS41Bcast F,4,94.15,4.33,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,231,135,11
"Magnesium, ZM21",ZM21,3,97.02,0.00,2.03,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,232.5,142.5,10
